"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes) - Lot 4 727 865,"45.4883723285
? -73.5628460206",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,10/17/11
Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes) - Lot 4 727 867,"45.4883723285
? -73.5628460206",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,10/17/11
Societe Immobiliere du Canada CLC ltee (anc. Centre de tri-postal - Lots 4 499 002 et 4 727 866,"45.4883723285
? -73.5628460206",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,1/22/14
Societe immobiliere du Quebec (1),"45.4646969023
? -73.5857682819",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : > C",2/25/10
Societe immobiliere du Quebec (2),"45.4646969023
? -73.5857682819",Ville de Montreal,,"Benzene (pot), Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 1996
Q : <= B",2/25/10
Societe Immobiliere Marathon,"45.4972728302
? -73.5704378352",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1989
Q : Non precisee",3/4/05
Societe immobiliere Trans-Quebec inc.,"45.5154848416
? -73.5623704981",Ville de Montreal,,"Nickel (Ni), Plomb (Pb)","R : Non necessaire
Q : Non precisee",1/30/17
Societe Radio-Canada,"45.5183964429
? -73.5510192496",Ville de Montreal,,"Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Cuivre (Cu), etain (Sn), Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,8/23/17
Sodisco-Howden inc.,"45.4373892886
? -73.6841370801",Ville de Montreal,,Hydrocarbures lourds*,"R : Terminee en 1998
Q : Plage B-C",6/29/99
Soeurs du Bon Pasteur,"45.5141374257
? -73.5678862581",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",7/27/99
Soeurs du Bon Pasteur,"45.5079636136
? -73.7733326303",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",3/3/05
Soeurs Sainte-Croix,"45.5769706039
? -73.6538112761",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1993
Q : Plage A-B",9/26/00
Sol plastiques S.E.C.,"45.5861435124
? -73.5145839499",Ville de Montreal,,"Cuivre (Cu), Plomb (Pb), Zinc (Zn)","R : Terminee en 1997
Q : <= B",12/20/01
Solutia Canada inc.,"45.4507064297
? -73.6216062167",Ville de Montreal,,"Arsenic (As), Cuivre (Cu), etain (Sn), Manganese (Mn), Plomb (Pb), Zinc (Zn)","R : Terminee en 2005
Q : > C",2/23/15
Solutia Canada inc.,"45.4519925677
? -73.6199199947",Ville de Montreal,"Benzene, ethylbenzene, Fluoranthene, Formaldehyde, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Arsenic (As), Benzene (pot), Biphenyles polychlores (BPC), Cadmium (Cd), Chlorure de vinyle (chloroethene) (pot), Composes phenoliques*, Cuivre (Cu), Dichloromethane (pot), etain (Sn), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Mercure (Hg), Phthalates (chacun), Plomb (Pb), Selenium (Se), Styrene (pot), Toluene (pot), Trichloro-1,1,1 ethane (pot), Xylenes (o,m,p) (pot), Zinc (Zn)",R : Non terminee,2/2/21
Sonic,"45.577934891
? -73.645831064",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1995
Q : Non precisee",12/7/16
Sotirios Antypas & Kyriaki Zacharioudakis,"45.5031067536
? -73.627455116",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : Plage A-B",3/11/05
Spinelli,"45.4467337288
? -73.6666307998",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,9/1/10
Spinelli Mazda (anc. Lachine Ford),"45.4363539851
? -73.6909622811",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2012
Q : <= B",4/9/13
Square Saint-Patrick,"45.4889652818
? -73.5579539479",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)","R : Terminee en 1998
Q : Plage A-B",12/20/01
Stade Saputo,"45.5651384663
? -73.5543043233",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Plomb (Pb)","R : Terminee en 2007
Q : <= C",9/13/07
Stadium de Verdun - Les brises du Fleuve,"45.4607981502
? -73.5615949512",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Metaux*","R : Non necessaire
Q : Non precisee",5/11/17
Stahl Canada ltee,"45.5226812152
? -73.6618636582",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures chlores*",,"R : Terminee en 2002
Q : Non precisee",4/10/18
Station de pompage d'eau brute - Île des Soeurs,"45.4533277448
? -73.5572007647",Ville de Montreal,Fluoranthene,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,12/4/15
Station de service Pan & Fils inc.,"45.5419693451
? -73.6221121226",Ville de Montreal,,"etain (Sn), Hydrocarbures aromatiques polycycliques*","R : Terminee en 2007
Q : Plage A-B",9/21/15
"Station d'essence Sonic, au 2715, rue Fleury E.","45.577934891
? -73.645831064",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,12/7/16
Station Esso,"45.4840027778
? -73.5798916667",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2001
Q : <= C",12/17/03
Station service (7965 rue St-Hubert),"45.545769206
? -73.6243739618",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= B",8/26/15
"Station service 13174 (5695, boul. Couture)","45.5963765808
? -73.609223055",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2008
Q : <= C",8/25/15
Station service A.M.Y. inc,"45.4601944444
? -73.7238888889",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,10/1/08
Station service de la Montagne,"45.4920342757
? -73.5629041017",Ville de Montreal,"ethylbenzene, Xylenes (o,m,p)","Arsenic (As), Cuivre (Cu), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*",R : Non terminee,4/9/18
Station service Esso (No. 44-0027),"45.5187608349
? -73.5723037255",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,1/14/21
"Station service Esso 2156, Sherbrooke Est","45.5317864063
? -73.5624149702",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2007
Q : > B (Total)",10/6/10
"Station service Petro-Canada 6520, chemin Cote-de-Liesse","45.4851908043
? -73.6915261456",Ville de Montreal,,Hydrocarbures aromatiques monocycliques * (pot),R : Non terminee,8/25/15
Station service Shell,"45.5437542308
? -73.5771676731",Ville de Montreal,"Benzene, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,7/4/12
Station Service Shell Van Horne enr.,"45.52041582
? -73.614811707",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,7/4/08
"Station service Ultramar #41964 (4710, Hochelaga)","45.5588011747
? -73.5437273762",Ville de Montreal,"Baryum (Ba), Hydrocarbures aromatiques monocycliques*, Hydrocarbures aromatiques polycycliques*","Hydrocarbures aromatiques monocycliques * (seringue), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Manganese (Mn)",R : Non terminee,2/17/20
"Station service Ultramar (5990, rue Hochelaga)","45.5729737054
? -73.5356405201",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= B",8/25/15
Station service Ultramar numero 41983,"45.5042855853
? -73.6779379643",Ville de Montreal,"Benzene, ethylbenzene, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Toluene, Xylenes (o,m,p), Zinc (Zn)","Benzene (pot), Cuivre (Cu), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,1/14/13
Stationnement & Developpement International inc.,"45.5105430938
? -73.5588079751",Ville de Montreal,,"Baryum (Ba), Hydrocarbures aromatiques polycycliques*, Plomb (Pb)","R : Terminee en 1994
Q : <= B",9/6/16
Stationnement automobile,"45.5175
? -73.5580555556",Ville de Montreal,,Tetrachloroethene (pot),R : Non terminee,3/3/08
Stationnement incitatif Radisson,"45.5901692954
? -73.5381926868",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Nickel (Ni), Plomb (Pb), Zinc (Zn)","R : Terminee en 2002
Q : > C",3/24/03
Station-service - Produits Shell Canada,"45.5620526094
? -73.605079967",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,2/28/05
Station-service #13104,"45.5263888889
? -73.7136111111",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2006
Q : <= B",11/27/06
Station-service 10 725 Henri-Bourassa Est,"45.6525229359
? -73.537019882",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2010
Q : <= C",8/30/11
Station-service 12728 de Petro-Canada,"45.4402777778
? -73.595",Ville de Montreal,"Benzene, ethylbenzene, Hydrocarbures petroliers C10 a C50, Naphtalene, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Methyl naphtalenes (chacun), Naphtalene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2005
Q : <= B",8/9/05
Station-service 13103,"45.526966
? -73.697863",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2007
Q : Plage B-C",10/2/08
"Station-service 44-6015, Petroliere Imperiale","45.5376213132
? -73.6999918504",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2009
Q : <= B",1/28/11
"Station-service 7390, ch. Cote-Saint-Luc, Montreal","45.4613888889
? -73.6577777778",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2006
Q : <= B",7/11/06
"Station-service au 5585, rue Iberville a Montreal","45.5443559201
? -73.5804568764",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : <= B",5/2/16
Station-service Calex,"45.561859325
? -73.5418243219",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1992
Q : Plage A-B",7/15/99
Station-service Canadian Tire no 1780,"45.5284478535
? -73.7206720401",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2011
Q : <= B",9/29/11
Station-service Esso,"45.428730218
? -73.6392282959",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1997
Q : Plage B-C",6/10/02
Station-service Esso,"45.6120102444
? -73.5550162479",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,9/26/00
Station-service Esso,"45.507813368
? -73.663720147",Ville de Montreal,,"Benzene (pot), Cuivre (Cu), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Nickel (Ni), Plomb (Pb), Toluene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)",R : Non terminee,4/24/02
Station-service Esso,"45.527059999
? -73.5797102082",Ville de Montreal,Hydrocarbures petroliers C10 a C50,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2016
Q : <= B",3/8/17
Station-service Esso #44-0632,"45.5272574818
? -73.6128884192",Ville de Montreal,"Benzene, ethylbenzene, Hydrocarbures petroliers C10 a C50, Metaux*, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Toluene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2005
Q : <= B",5/15/06
Station-service Esso 44-0289,"45.5564237967
? -73.6597272514",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2006
Q : <= B",5/23/06
Station-service Esso 44-0380,"45.554390054
? -73.6691835502",Ville de Montreal,"Benzene, ethylbenzene, Toluene, Xylenes (o,m,p), Zinc (Zn)","Benzene (pot), Benzo(b+j+k)fluoranthene, ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2006
Q : <= B",1/17/07
"Station-service Esso, 7145, rue Papineau, Montreal","45.5479444444
? -73.6069444444",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Zinc (Zn)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2019
Q : <= B",5/7/20
"Station-service Esto 2620, rue Ontario Est, Montreal","45.5337976339
? -73.5527213783",Ville de Montreal,Hydrocarbures aromatiques monocycliques*,"ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2005
Q : Plage A-B",3/27/06
Station-Service G.E. inc.,"45.612115
? -73.560967",Ville de Montreal,"Benzene, Zinc (Zn)","Benzene (pot), ethylbenzene (pot), Methyl naphtalenes (chacun), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2009
Q : Plage A-B",12/3/13
Station-service Lucar,"45.5415057632
? -73.6264008869",Ville de Montreal,,"ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2008
Q : Plage A-B",2/26/09
"Station-service Olco 14250, rue Notre-Dame Est, Montreal P.A.T.","45.6709659149
? -73.4935969535",Ville de Montreal,"Xylenes (o,m,p)","ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2013
Q : <= B",12/20/13
Station-service Petro-Canada,"45.4417716976
? -73.6650118196",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1991
Q : Non precisee",9/2/99
Station-service Petro-Canada,"45.5933333333
? -73.525",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2006
Q : <= B",8/2/06
Station-service Petro-Canada (1),"45.6435662716
? -73.5263454499",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50",R : Non terminee,2/25/10
Station-service Petro-Canada (2),"45.6435662716
? -73.5263454499",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,2/25/10
Station-service Petro-Canada (5700 Henri-Bourassa Est),"45.6066527778
? -73.618675",Ville de Montreal,,"Benzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2012
Q : <= C",4/8/13
"station-service Petro-Canada 455, rue Guy, Montreal","45.4903472222
? -73.5666944444",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,9/26/19
Station-service Renaud-Bell,"45.4436120744
? -73.6484886212",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,4/17/00
Station-service Sergaz,"45.5914324134
? -73.6457762993",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1992
Q : <= C",3/6/17
Station-service Shell,"45.5536051254
? -73.5805112401",Ville de Montreal,,Hydrocarbures legers*,"R : Terminee en 1993
Q : Non precisee",3/3/05
Station-service Shell,"45.5822021879
? -73.6026058556",Ville de Montreal,"Benzene, ethylbenzene, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,2/21/17
Station-service Shell,"45.5834902824
? -73.6501255961",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1998
Q : Plage A-B",8/4/00
Station-Service Shell,"45.6129075992
? -73.559927766",Ville de Montreal,,"ethylbenzene (pot), Methyl naphtalenes (chacun), Xylenes (o,m,p) (pot)",R : Non terminee,4/7/11
Station-service Shell,"45.5941833137
? -73.6251860971",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures petroliers C10 a C50, Phenol","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50",R : Non terminee,5/31/17
Station-service Shell,"45.4746711041
? -73.6089995749",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,6/22/11
Station-service Shell,"45.5725421043
? -73.5366945071",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2004
Q : <= B",11/24/06
Station-service Shell,"45.439192
? -73.739088",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2007
Q : <= B",9/7/07
Station-service Shell,"45.6129075992
? -73.559927766",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 1995
Q : Plage B-C",11/19/08
"Station-service Shell (10 425, boul. Gouin Ouest)","45.506628981
? -73.8046487791",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2012
Q : > B (Total)",4/2/14
Station-service Sonic,"45.4632222051
? -73.582779029",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*","R : Terminee en 2013
Q : Plage A-B",10/20/15
Station-service Sunoco,"45.4852646346
? -73.6273368281",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1994
Q : Non precisee",12/11/02
Station-service Sunoco,"45.536862107
? -73.5612810094",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1993
Q : Non precisee",12/11/02
Station-service Sunoco,"45.6084118639
? -73.5275640572",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1993
Q : Plage B-C",8/11/00
Station-service Sunoco,"45.4417251962
? -73.67213164",Ville de Montreal,,"Benzene (pot), Hydrocarbures petroliers C10 a C50",R : Non terminee,9/27/00
"Station-service, 8125, chemin de la Cote de Liesse","45.476986733
? -73.7040603059",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2013
Q : <= C",1/6/15
"STCUM, Centre de transport Saint-Denis","45.5319740609
? -73.6017975551",Ville de Montreal,Hydrocarbures petroliers C10 a C50,Hydrocarbures petroliers C10 a C50,R : Non terminee,9/25/09
"STCUM, Garage Anjou","45.6178576333
? -73.5816156651",Ville de Montreal,,"Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1996
Q : Plage B-C",7/22/11
"STCUM, Garage Bellechasse","45.5291971928
? -73.603310983",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,10/13/09
"STCUM, Garage Frontenac","45.5316042453
? -73.5483826483",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,1/15/01
"STCUM, Garage Legendre","45.546091465
? -73.6514475162",Ville de Montreal,Benzene,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1999
Q : > C",3/3/05
"STCUM, Garage St-Michel","45.5631059386
? -73.613920957",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",7/15/99
"STCUM, Garage Youville","45.5435917259
? -73.6430658431",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1997
Q : <= C",4/25/03
"STCUM, Metro Viau","45.5622621059
? -73.547320107",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1991
Q : Non precisee",7/15/99
"STCUM, Station Guy","45.496016458
? -73.5789833039",Ville de Montreal,,,"R : Non necessaire
Q : Non precisee",9/28/09
"Stimule inc. - Arr. Plateau Mont-Royal 3426, avenue du Parc","45.5085044136
? -73.5721821689",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Plomb (Pb)","R : Terminee en 2010
Q : Plage A-B",8/29/12
Stone-Consolidated inc. (Consumers glass),"45.4733211716
? -73.5600291545",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb)","R : Terminee en 1993
Q : Non precisee",4/17/00
Stromiga Quebec inc. (Placage Empire ltee),"45.4509044463
? -73.7142469876",Ville de Montreal,,"Cadmium (Cd), Chrome total (Cr), Cuivre (Cu), Cyanure disponible (CN-), Hydrocarbures petroliers C10 a C50, Nickel (Ni), Zinc (Zn)","R : Terminee en 1998
Q : <= C",2/28/05
STRSM Terminus temporaire (rues Universite et St-Antoire),"45.5003452685
? -73.5636726122",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1995
Q : Non precisee",12/12/02
Succession Legault,"45.4717546438
? -73.8773150305",Ville de Montreal,,"Xylenes (o,m,p) (pot)","R : Terminee en 1999
Q : Plage B-C",12/11/02
Sunlife du Canada,"45.4578190244
? -73.6275563381",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Plage A-B",3/24/99
Sunoco (ancienne station-service Richelieu),"45.4570344041
? -73.6291144786",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures petroliers C10 a C50, Phenol","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50","R : Terminee en 1997
Q : <= C",7/6/18
Sunoco inc (ancien La Corporation Tribospec),"45.4735655003
? -73.5786961391",Ville de Montreal,,"Benzene (pot), Cuivre (Cu), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Toluene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)",R : Non terminee,4/2/02
"Super Gaz 9132, rue Airlie, LaSalle","45.4211444444
? -73.6347916667",Ville de Montreal,,Benzene (pot),"R : Terminee en 2005
Q : <= C",7/13/05
Super gaz ltee n°803,"45.5373805858
? -73.55761469",Ville de Montreal,,"Arsenic (As), Baryum (Ba), Benzene (pot), Cadmium (Cd), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2013
Q : Plage A-B",8/13/14
Supermarche Nour inc. (IGA),"45.5972902751
? -73.6309354514",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1999
Q : > C",10/3/00
Sur le chemin Bates a Montreal,,Ville de Montreal,,"Cuivre (Cu), etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,4/10/07
Syndicat des coproprietaire des condominiums Club Marin III,"45.4596852009
? -73.5560315063",Ville de Montreal,"Biphenyles polychlores (BPC), Hydrocarbures petroliers C10 a C50, Sulfures (H2S), Zinc (Zn)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2000
Q : > C",2/25/05
Tekalia Aeronautik (2010) inc.,"45.6548555556
? -73.5211388889",Ville de Montreal,"Baryum (Ba), Cadmium (Cd), Cuivre (Cu), Manganese (Mn), Mercure total (Hg), Trichloroethylene, Zinc (Zn)","Cuivre (Cu), Hydrocarbures aromatiques polycycliques*",R : Non terminee,1/18/23
Terminal Norcan inc.,"45.5733025912
? -73.5170021886",Ville de Montreal,"Benzene, ethylbenzene, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)",R : Non terminee,11/10/16
"Terrain 10750, rue de Saint-Real","45.5384975247
? -73.6789737811",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2004
Q : <= B",1/12/05
"Terrain 11519, rue Pelletier, Montreal-Nord","45.5983440853
? -73.6393895822",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2005
Q : <= B",2/17/06
